14.1295,120.9332,Region IV-A - CALABARZON
14.3656,121.387,Region IV-A - CALABARZON
14.4084,121.4052,Region IV-A - CALABARZON
14.527,121.4373,Region IV-A - CALABARZON
13.7142,121.0645,Region IV-A - CALABARZON
14.6187,121.1405,Region IV-A - CALABARZON
14.6296,121.1202,Region IV-A - CALABARZON
13.8937,122.454,Region IV-A - CALABARZON
14.3656,121.6596,Region IV-A - CALABARZON
13.6214,122.5185,Region IV-A - CALABARZON
13.0965,121.3455,Region IV-B - MIMAROPA
14.2898,122.6917,Region V - Bicol Region
7.0965,121.9032,Region IX - Zamboanga Peninsula
17.1677,121.8972,Region II - Cagayan Valley
16.4792,121.0457,Region II - Cagayan Valley
16.9919,121.1694,CAR - Cordillera Administrative Region
16.6486,121.0932,CAR - Cordillera Administrative Region
17.5031,121.2347,CAR - Cordillera Administrative Region
17.0469,120.9358,CAR - Cordillera Administrative Region
14.2201,121.7464,Region IV-A - CALABARZON
14.8436,121.9694,Region IV-A - CALABARZON
14.4321,121.214,Region IV-A - CALABARZON
12.6714,121.3914,Region IV-B - MIMAROPA
13.5283,121.8681,Region IV-B - MIMAROPA
14.2757,122.6781,Region V - Bicol Region
14.2894,122.6692,Region V - Bicol Region
14.284,122.7127,Region V - Bicol Region
14.2991,122.7001,Region V - Bicol Region
13.514,123.3809,Region V - Bicol Region
13.4721,123.5262,Region V - Bicol Region
13.8785,123.671,Region V - Bicol Region
13.776,123.5175,Region V - Bicol Region
13.7299,123.5921,Region V - Bicol Region
13.7112,123.6531,Region V - Bicol Region
13.6892,123.8126,Region V - Bicol Region
13.771,123.7502,Region V - Bicol Region
13.7101,123.7428,Region V - Bicol Region
13.5405,123.578,Region V - Bicol Region
13.9229,123.3342,Region V - Bicol Region
13.8322,124.3986,Region V - Bicol Region
12.1546,123.9052,Region V - Bicol Region
12.8693,124.131,Region V - Bicol Region
12.8809,124.06,Region V - Bicol Region
12.8737,124.0076,Region V - Bicol Region
12.8751,124.0476,Region V - Bicol Region
12.857,123.9581,Region V - Bicol Region
12.8443,123.9441,Region V - Bicol Region
12.7813,123.9179,Region V - Bicol Region
12.6,124.0757,Region V - Bicol Region
12.9903,123.8887,Region V - Bicol Region
10.9603,122.6707,Region VI - Western Visayas
10.7087,123.0696,Region VI - Western Visayas
10.7383,123.1829,Region VI - Western Visayas
9.8439,124.4318,Region VII - Central Visayas
9.8089,124.4541,Region VII - Central Visayas
